Modèle,MAE Train (s),MAE Test (s),RMSE Train (s),RMSE Test (s),MAPE Test (%),Temps (s),Type
Gradient Boosting,411.3068773263306,444.4497859983369,787.9071993063337,891.5056786641669,43.90461589511283,22.89413094520569,ML
XGBoost,395.6053954782376,445.82722777118073,743.8040482449883,891.9656160272239,43.907123782470975,0.7389731407165527,ML
Random Forest,401.49771559480723,453.20767722777504,802.323798391973,909.0630526326698,44.3427187203409,8.020474195480347,ML
Residual MLP,429.7467399735614,452.05300775317795,836.3691874109143,925.9628613498783,44.598266471770984,14.399473190307617,DL
Wide & Deep,428.8892716460745,456.1834891751925,844.8712276816275,983.6856077837735,44.44038042579609,22.49697995185852,DL
MLP Simple,438.49391982026873,458.6403881641569,897.7002894049797,1061.0026262697297,45.006813963085996,5.584119081497192,DL
Régression Linéaire,73785.86871428114,2652.705201803464,11304840.212625714,119130.38334301276,71.43622922261359,0.18032193183898926,ML
Ridge (α=1.0),73793.79801842099,2653.228586062976,11306174.740325458,119174.87976000745,71.43975697722263,0.08636307716369629,ML
Lasso (α=0.01),98963.94604390246,2777.9188509545215,15246774.072164375,124675.37817771942,73.4007827244041,0.10498499870300293,ML
MLP Deep,37418.1242102369,2260.12615254152,7674626.698451688,146775.91848412223,61.53347531031511,5.578765630722046,DL
